상품명,최초 발급일자,개인사업자/법인사업자,대위변제금액(보증이행),주택형태,
임대보증금보증(세대_사용검사후),2024-02-27,법인사업자,247500000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-01-08,법인사업자,166000000,다세대주택,
임대보증금보증(세대_사용검사후),2023-12-27,법인사업자,83000000,아파트,
임대보증금보증(세대_사용검사후),2024-05-31,법인사업자,42000000,다세대주택,
임대보증금보증(세대_사용검사후),2024-06-12,법인사업자,173200000,다세대주택,
임대보증금보증(세대_사용검사후),2024-12-31,법인사업자,150000000,아파트,
임대보증금보증(세대_사용검사후),2024-08-22,법인사업자,92000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2023-10-24,법인사업자,121000000,아파트,
임대보증금보증(세대_사용검사후),2024-02-29,법인사업자,249500000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-05-24,법인사업자,120000000,아파트,
임대보증금보증(세대_사용검사후),2024-12-27,법인사업자,80000000,아파트,
임대보증금보증(세대_사용검사후),2024-03-27,법인사업자,125000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2025-12-23,법인사업자,182300000,아파트,
임대보증금보증(세대_사용검사후),2024-12-30,법인사업자,235000000,아파트,
임대보증금보증(세대_사용검사후),2024-08-05,법인사업자,50000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-11-20,법인사업자,56836500,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-10-30,법인사업자,132600000,아파트,
임대보증금보증(세대_사용검사후),2024-08-06,법인사업자,99807000,아파트,
임대보증금보증(세대_사용검사후),2024-07-19,법인사업자,140000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2023-12-01,법인사업자,219000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2025-02-28,법인사업자,222000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-12-26,법인사업자,40600000,아파트,
임대보증금보증(세대_사용검사후),2025-11-13,법인사업자,183000000,아파트,
임대보증금보증(세대_사용검사후),2025-07-24,법인사업자,183300000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-03-13,법인사업자,72000000,아파트,
임대보증금보증(세대_사용검사후),2023-03-30,법인사업자,132600000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-05-31,법인사업자,178000000,아파트,
임대보증금보증(세대_사용검사후),2025-04-29,법인사업자,50000000,아파트,
임대보증금보증(세대_사용검사후),2025-03-04,법인사업자,110000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2023-10-05,법인사업자,184000000,아파트,
임대보증금보증(세대_사용검사후),2024-05-10,법인사업자,219000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2023-10-24,법인사업자,115000000,아파트,
임대보증금보증(세대_사용검사후),2025-03-04,법인사업자,146120000,아파트,
임대보증금보증(세대_사용검사후),2023-10-06,법인사업자,140000000,아파트,
임대보증금보증(세대_사용검사후),2024-02-07,법인사업자,178000000,다세대주택,
임대보증금보증(세대_사용검사후),2024-04-17,법인사업자,147762500,아파트,
임대보증금보증(세대_사용검사후),2024-05-13,법인사업자,188100000,아파트,
임대보증금보증(세대_사용검사후),2024-03-29,법인사업자,176300000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-06-12,법인사업자,175300000,아파트,
